PitcherID,Average_StuffPlus_2023,Average_StuffPlus_2024,era,xera,woba
518886,103.556947168397,105.730987683994,5.33,4.31,0.309
519008,93.9567517077425,99.834467503873,3.81,3.36,0.293
519043,101.36523168443,103.309431583811,5.03,4.25,0.329
519151,96.8597312259229,97.35291387489,3.49,3.97,0.314
519242,103.498023466113,107.330274093213,2.38,2.8,0.26
519293,96.6238021205377,97.5121160982909,,,
519326,,104.145760438932,3.31,3.49,0.286
521230,98.0959217063869,,,,
523260,106.122017163882,104.220131745671,,,
527048,94.0629754141174,97.5025409633589,4.53,5.38,0.351
527054,97.4620655098409,96.3626097884173,,,
528748,,96.7818138869697,,,
541640,94.9997404791188,93.1163189972226,,,
542194,112.533357231332,,,,
542208,156.937419817707,,,,
542585,100.802045673131,100.814672798205,,,
542881,98.0747740745417,102.158255833013,3.81,4.37,0.308
542882,,98.8340913290951,,,
542888,103.385088216937,103.340563440148,4.86,5.11,0.345
542914,96.0073827101859,,,,
542947,96.2431512960578,,,,
543037,99.7873357819855,101.231533324347,3.41,3.64,0.286
543056,100.272118686278,102.704754589488,,,
543063,97.7901142459939,93.6150397927555,,,
543101,93.1160392752559,,,,
543135,97.3409492931713,100.414173986396,3.8,3.91,0.291
543238,,97.6619428502622,,,
543243,97.8897123223867,97.410786957587,3.84,3.67,0.292
543272,102.224295380362,,,,
543281,132.368891011763,,,,
543294,96.6641123947144,97.9650263055821,5.92,4.81,0.339
543305,,113.520605945638,,,
543339,96.7904199859425,96.6892108474071,3,3.8,0.274
543351,99.2502545342382,101.591422664022,,,
543391,,102.149807947512,,,
543475,95.4372223082361,97.1670064696552,,,
543507,101.767414684046,,,,
543518,101.415607305369,100.999745272326,,,
543521,96.8611654280552,,,,
543543,92.0831698801473,,,,
543548,101.052006858408,,,,
543594,95.5510309783209,,,,
543766,100.538460476369,100.64040804818,,,
543859,103.935819463617,101.38029221012,3.63,4.34,0.296
543901,95.8245923488573,,,,
544150,,96.7497310819749,3.7,4.05,0.32
544727,100.924557245256,,,,
545121,97.2637875136385,92.1771955507253,,,
547001,,96.0120416219145,,,
547179,98.226713820222,97.0116847830052,3.31,4.59,0.303
547184,103.14140452123,100.503762789519,,,
547943,97.9767390755939,,,,
547973,109.490071203106,112.243389541941,3.79,2.98,0.289
548384,106.70065256534,112.608293419432,,,
548389,94.2115329868674,94.8455518430451,6.01,4.74,0.344
552640,100.056692586713,96.5947953091988,2.8,3.97,0.289
554340,103.583856105247,104.819232039978,,,
554430,103.672494879534,104.74792685462,2.56,2.8,0.256
554431,,96.4272816924188,,,
570257,98.7751678005378,106.322214649315,,,
570632,95.9165876926427,95.0359652194121,3.8,4.43,0.314
570666,91.6410642246601,,,,
570731,111.121168999989,,,,
571466,168.445796113825,152.212693991141,,,
571479,100.3664439921,,,,
571510,101.494931539625,100.550554256541,,,
571527,,105.495162989367,,,
571539,98.4098935489547,98.9026764339049,,,
571578,90.7923413551271,90.2094561304025,5.62,5.53,0.357
571616,96.7040792586999,,,,
571656,100.419111996336,102.912369954241,3.04,4.14,0.293
571657,,137.261596451201,,,
571670,96.3587509173758,98.5896500339256,3.8,3.94,0.285
571710,99.9092764775491,,,,
571760,100.777394487192,99.23892670035,4.28,4.46,0.312
571771,,110.226813357891,,,
571863,94.6581749277342,96.2654913879779,,,
571875,115.8971132211,,,,
571882,96.5885195940725,98.8746860911248,2.6,3.7,0.282
571901,101.132859914815,,,,
571912,108.802406161061,111.778072867439,,,
571927,103.060470762901,102.237187611001,,,
571945,94.6016467422717,94.9113131028181,5.35,4.65,0.339
571946,102.850308111044,101.674886959157,4.53,3.75,0.28
571948,102.181109249612,101.995013086983,4.73,3.24,0.297
572020,98.349227434684,98.7936232827207,4.39,4.74,0.324
572143,,95.092857747701,4.95,4.46,0.328
572193,97.7068434537961,,,,
572403,101.335846772445,,,,
572888,103.433132606522,,,,
572955,97.4409413670579,102.02631414428,3.67,3.8,0.302
572971,96.7944818716533,94.6588290449801,,,
573009,96.7665983749344,95.9388663526398,3.92,3.22,0.265
573124,104.768824917327,105.268896027697,2.4,3.29,0.309
573186,95.6863372960935,94.4767910287272,4.31,4.94,0.341
573204,103.889018896469,104.532867421179,5.32,4.17,0.327
573262,,122.974714090607,,,
579328,99.1302721310799,99.8534128263949,4.05,3.7,0.297
592094,103.389003354721,102.540831000828,1.96,3.14,0.224
592155,,99.1277156081945,,,
592222,107.174588466812,,,,
592229,97.8112137695212,,,,
592254,103.402961998511,,,,
592288,,97.4206997188146,,,
592332,102.738972446573,101.325141710512,3.83,4.71,0.3
592346,98.5622621890047,,,,
592351,95.2120381930887,96.8180453702054,4.47,4.65,0.309
592390,100.759458270442,,,,
592426,99.3730743381773,99.9889795082985,5.09,4.08,0.328
592454,106.809565985385,107.675403172866,,,
592473,104.860752706765,,,,
592527,97.2247286581815,,,,
592662,,103.822467696406,,,
592741,99.3804704286607,96.4706705769628,,,
592767,98.9274289749467,106.402650301804,3.83,3.78,0.325
592773,102.691437422362,101.504754875882,4.88,3.44,0.307
592779,105.526654123859,100.82621605799,,,
592789,95.3770958902382,,,,
592791,97.4142946007679,99.5102113721569,3.27,4.05,0.289
592826,99.9057872950885,,,,
592836,94.8989754249312,95.9963257049917,7.1,7.09,0.413
592848,99.4646866085106,,,,
592866,97.980003473635,98.3655507752673,2.02,3.17,0.248
593334,99.0881551874304,97.7542651482101,,,
593423,102.20572890752,100.935310498413,4.84,4.71,0.325
593576,105.761317841885,105.59777837787,4.1,4.31,0.324
593619,102.70456463079,,,,
593643,110.753350641829,,,,
593833,102.956362811534,111.075307469219,,,
593934,,127.000553889976,,,
593958,100.777770686664,100.62822967329,5.04,5.53,0.35
593974,95.4807500853833,99.7280800166349,,,
594577,99.0004174976908,,,,
594580,105.559130516245,104.619015344861,,,
594798,99.5281106364307,103.48635730456,,,
594835,95.7776898411694,95.565367809145,,,
594902,98.8347346008932,96.5174773573438,3.81,4,0.315
594943,99.6474571472466,,,,
595014,,102.905674569396,,,
595345,104.277543850156,103.332179150556,,,
595411,102.386339740878,,,,
595881,,101.046263696436,,,
595897,105.20913549355,101.599973757131,,,
595928,96.4885411929572,104.013310641914,,,
595978,92.0893200512232,99.2413384234579,,,
596001,97.8524411380619,101.450187629466,2.69,3.8,0.259
596057,98.8726163858861,,,,
596082,104.457533442707,,,,
596112,104.831067098488,,,,
596117,,99.3017283897933,,,
596133,102.812416245841,97.9911971856178,2.89,3.31,0.256
596271,98.9293285757998,,,,
596295,93.7357654100174,92.4405151436695,4.75,5.07,0.339
598264,97.8712000441469,98.5196175897077,,,
598286,96.5132505554674,94.6869757343831,,,
600917,103.892249746335,106.992288576091,4.32,3.59,0.3
600921,98.4123712383347,,,,
600986,107.400375552148,100.482406961832,,,
601713,101.590201535839,103.836154968356,4.14,3.51,0.306
605121,,101.048950902274,4.39,4.91,0.314
605130,104.821382987364,102.07311802291,4.25,4.17,0.306
605135,103.175325876417,101.149756979823,4.16,4.52,0.331
605151,95.5030519859642,,,,
605154,103.434071296231,101.312040747694,5.86,4.87,0.337
605155,98.7473188575547,101.499794077768,,,
605156,,88.61300030751,,,
605177,100.274640882043,100.955740332295,3.52,3.64,0.301
605182,100.168819831441,99.5691522221165,,,
605200,97.6615130143841,,,,
605218,100.68445485943,93.1179806502198,,,
605242,103.064997704992,,,,
605280,100.774956726708,99.9232329370576,3.14,3.29,0.292
605288,96.1152777818045,95.8386716648243,5.84,5.24,0.35
605335,,100.793758028445,,,
605347,95.2068645738409,96.8249447324078,2.89,3.59,0.298
605397,101.301193549634,98.8102977402207,3.88,4.34,0.317
605400,99.8838316209577,100.542206908833,3.57,3.72,0.31
605441,98.4251385640561,,,,
605446,95.5535481738364,,,,
605447,97.33194210009,97.0249063703649,,,
605452,,98.4301149572179,3.77,3.91,0.299
605463,104.263255357792,101.925454394215,2.23,3.46,0.275
605483,105.607247948009,104.54804558885,3.12,2.55,0.241
